;net.c;class;lspri_synth;lspri_serum;lspri_relative;lspri_diff;lspri_rel_ch;zav_synth;zav_serum;pdi_synth;pdi_serum;vol_synth;vol_serum;num_synth;num_serum;int_synth;int_serum;hdlayer_synth;hdlayer_serum;hdrel_synth;hdrel_serum;zav_ch;pdi_ch;vol_ch;num_ch;int_ch;zav_rel;pdi_rel;vol_rel;num_rel;int_rel;zp_synth;zp_serum;zp_ch;zp_rel;zp_synth_sign;zp_serum_sign;zp_synth_mag;zp_serum_mag;bca_density;AS.total;P01024;P0C0L4;P02649;P10909;Q14624;P01009;P04114;P00734;P0C0L5;P01008;P04196;P01023;P01042;P02656;P00739;P05154;P02743;P06396;P19823;P12259;P10720;P05546;P49908;P35542;P68871;Q03591;O43866;P02749;P03951;P02654;P03952;P02760;P00738;P01011;P18428;P02655;Q13103;P00736;P00748;P00742;P02774;Q14520;P00751;P00740;P03950;P02790;P09871;P27169;P02788;P20851;P18065;P00450;P08567;P01019;P02671;P15169;Q13790;P08709;P00451;Q06033;P14618;P23528;Q99467
G15.AC;-5.18390005;1;0.182530253;0.454404195;2.48947332;0.271873942;1.48947332;22.36;57.53;0.084;0.27;21.94;21.75;23.49;18.38;23.49;70.97;7.46;42.63;1.500671141;3.861073826;35.17;0.186;-0.19;-5.11;47.48;2.572898032;3.214285714;0.991340018;0.782460622;3.021285653;-21.78;-9.11;12.67;0.418273646;-1;-1;21.78;9.11;2.927;10.61455362;0.073492144;0.027369488;0.085656361;0.012671059;0.002534212;0.006588951;0.079574252;0.061834769;0.001520527;0.112012164;0.044095286;0.011657375;0.020273695;0;0.002027369;0.01064369;0.031424227;0.006588951;0.009123163;0.004054739;0.001520527;0.007602636;0.003041054;0;0;0.002027369;0;0;0.013684744;0;0;0;0;0.000506842;0;0;0.002534212;0.011657375;0.004561581;0;0;0;0;0;0.002534212;0;0.010136847;0;0.01064369;0.001520527;0;0;0;0;0;0.000506842;0;0;0;0;0.003041054;0;0
G15.AHT;-1.00853711;0;0.458209658;0.525747071;1.147394127;0.067537412;0.147394127;30.95;90.06;0.399;0.215;11.76;67.79;47.5;53.87;47.5;106.7;16.05;75.16;2.077181208;6.044295302;59.11;-0.184;56.03;6.37;59.2;2.909854604;0.538847118;5.764455782;1.134105263;2.246315789;15.22;-8.79;-24.01;-0.577529566;1;-1;15.22;8.79;4.602;10.00312588;0.021656535;0.055091185;0.001899696;0.005319149;0.00493921;0.016717325;0.021276596;0.263677812;0.007598784;0.047112462;0.001899696;0.004559271;0;0.000379939;0.001899696;0;0.002659574;0.000379939;0.005319149;0.002659574;0.000379939;0;0;0;0;0;0.003039514;0;0;0;0;0.00493921;0.001899696;0;0;0;0.003039514;0.000379939;0;0.082446809;0.000759878;0;0;0.050911854;0;0;0;0;0;0.007978723;0;0;0.002659574;0.000759878;0;0;0;0.009878419;0;0;0;0;0
G15.Ala-SH;-5.504386695;1;0.223533915;0.274761252;1.22917031;0.051227337;0.22917031;22.64;44.43;0.147;0.184;22.32;44.8;35.03;34.07;35.03;63.72;7.74;29.53;1.519463087;2.981879195;21.79;0.037;22.48;-0.96;28.69;1.96245583;1.25170068;2.007168459;0.972594919;1.819012275;-24.08;-6.73;17.35;0.27948505;-1;-1;24.08;6.73;4.79;10.26451127;0.08105939;0.017656501;0.107544141;0.00882825;0.002407705;0.006420546;0.016853933;0.123595506;0.001605136;0.313001605;0.031300161;0.00882825;0.016853933;0;0;0.010433387;0.016051364;0.002407705;0.003210273;0;0.006420546;0.016051364;0.003210273;0;0;0.005617978;0;0;0;0;0;0;0;0;0.000802568;0;0.001605136;0;0.004012841;0;0;0;0;0;0.008025682;0;0;0;0.010433387;0;0;0;0;0;0;0;0;0;0;0;0.001605136;0;0
G15.Asn-SH;-5.676687582;1;0.273619886;0.327264445;1.196055046;0.053644559;0.196055046;23.09;37.75;0.15;0.207;21.22;74.66;23.04;31.4;23.04;68.92;8.19;22.85;1.54966443;2.533557047;14.66;0.057;53.44;8.36;45.88;1.634906886;1.38;3.518378888;1.362847222;2.991319444;-20.27;-8.29;11.98;0.408978786;-1;-1;20.27;8.29;3.552;9.980184389;0.084718923;0.015835313;0.102137767;0.005542359;0.003958828;0.003167063;0.026128266;0.106096595;0.002375297;0.288202692;0.040380048;0.004750594;0.017418844;0;0;0.011876485;0.053840063;0.004750594;0;0;0.003958828;0.009501188;0.001583531;0;0;0.010292953;0;0;0;0;0;0;0;0;0.000791766;0;0.002375297;0;0;0;0;0;0;0;0.007125891;0;0;0;0.01266825;0;0;0;0;0;0;0.001583531;0;0;0;0;0;0;0
G15.AUT;-1.315665982;0;0.365435833;0.389573359;1.066051338;0.024137526;0.066051338;23.8;55.98;0.326;0.273;4.11;221.93;29.49;25.25;29.49;83.34;8.9;41.08;1.597315436;3.75704698;32.18;-0.053;217.82;-4.24;53.85;2.35210084;0.837423313;53.99756691;0.856222448;2.826042726;16.35;-7.95;-24.3;-0.486238532;1;-1;16.35;7.95;5.741;10.1485355;0.024524313;0.054968288;0.012262156;0.008033827;0.002536998;0.01987315;0.023678647;0.226638478;0.005496829;0.043128964;0.001691332;0.005496829;0;0.000422833;0.002114165;0.001268499;0.002114165;0;0.010993658;0.005919662;0;0.002114165;0;0;0.000845666;0;0.002114165;0;0;0;0;0.000845666;0;0;0;0.003805497;0.003805497;0;0;0.046511628;0.001268499;0.020295983;0;0.026638478;0;0;0;0;0;0.005919662;0;0.000422833;0.003382664;0.000422833;0;0;0;0.007610994;0.000422833;0;0;0;0.003382664
G15.CALNN;-7.13796526;1;0.206909736;0.26532699;1.28233207;0.058417254;0.28233207;25.22;38.8;0.144;0.154;21.32;36.99;23.12;34.38;23.12;41.33;10.32;23.9;1.69261745;2.604026846;13.58;0.01;15.67;11.26;18.21;1.538461538;1.069444444;1.734990619;1.487024221;1.787629758;-21.42;-6.54;14.88;0.305322129;-1;-1;21.42;6.54;2.976;10.76417871;0.043650794;0.034391534;0.010582011;0.007936508;0.022486772;0.009920635;0;0.141534392;0.001322751;0.185846561;0.072089947;0.011904762;0.056878307;0;0.001322751;0.033068783;0.068121693;0.005291005;0.005291005;0.005291005;0.002645503;0.010582011;0.001984127;0;0;0.003968254;0.000661376;0.013227513;0.017195767;0;0.024470899;0;0;0;0;0;0.001984127;0;0;0;0;0.003968254;0.011904762;0;0.002645503;0;0;0;0.024470899;0;0;0;0;0;0;0.002645503;0;0;0;0;0;0;0
G15.CIT;-5.419815916;1;0.210430919;0.292836119;1.391602152;0.082405201;0.391602152;18.65;54.03;0.138;0.217;19.47;38.58;28.3;32.35;28.3;64.47;3.75;39.13;1.251677852;3.626174497;35.38;0.079;19.11;4.05;36.17;2.897050938;1.572463768;1.981510015;1.143109541;2.278091873;-25.26;-8.5;16.76;0.336500396;-1;-1;25.26;8.5;5.488;11.3344902;0.127461707;0.038840263;0.012035011;0.007658643;0.064551422;0.006564551;0.007658643;0.024617068;0;0.085339168;0.019146608;0.010940919;0.074945295;0.006017505;0;0.028446389;0.001094092;0.024617068;0.00547046;0;0;0.002188184;0.000547046;0;0;0.004376368;0;0.032822757;0.019146608;0.00273523;0.014770241;0;0;0.004376368;0.002188184;0.000547046;0;0;0.002188184;0;0.004376368;0;0.008752735;0;0;0.012035011;0.000547046;0;0;0;0.001641138;0;0;0;0.001094092;0;0;0;0;0;0;0;0
G15.CTAB;-5.862286645;0;0.326141556;0.365810851;1.121632137;0.039669294;0.121632137;15.6;59.7;0.465;0.371;2.75;69.66;35.99;17.68;35.99;105.1;0.7;44.8;1.046979866;4.006711409;44.1;-0.094;66.91;-18.31;69.11;3.826923077;0.797849462;25.33090909;0.491247569;2.920255627;-5.01;-9.26;-4.25;1.848303393;-1;-1;5.01;9.26;4.008;8.864341562;0.091865358;0.074333801;0.01542777;0.010518934;0.025245442;0.0371669;0.04628331;0.0371669;0.003506311;0.066619916;0.011921459;0.011220196;0.050490884;0.009817672;0.002103787;0.010518934;0;0.01542777;0.01542777;0.003506311;0;0.003506311;0.000701262;0.002103787;0.000701262;0.002103787;0.001402525;0.020336606;0;0.004207574;0.007012623;0.002805049;0.004207574;0.002805049;0.005610098;0.002103787;0;0.005610098;0.001402525;0.000701262;0.011921459;0.002103787;0.00631136;0;0;0.009817672;0.002103787;0.002103787;0;0;0.001402525;0.002103787;0;0.001402525;0.004908836;0;0.001402525;0;0;0.002103787;0;0.000701262;0
G15.DDT@BDHDA;-7.294490912;0;0.266578823;0.317133738;1.189643401;0.050554915;0.189643401;23.15;47.03;0.187;0.336;22.84;175.14;27.78;23.34;27.78;140.15;8.25;32.13;1.553691275;3.156375839;23.88;0.149;152.3;-4.44;112.37;2.031533477;1.796791444;7.668126095;0.840172786;5.0449964;13.49;-9.7;-23.19;-0.719051149;1;-1;13.49;9.7;0.3;9.748892913;0.103219697;0.026515152;0.015151515;0.023674242;0.007575758;0.053030303;0.303030303;0.011363636;0.003787879;0.019886364;0;0.005681818;0;0.00094697;0.010416667;0;0;0.002840909;0.010416667;0;0;0;0;0.013257576;0.002840909;0;0.002840909;0;0;0;0;0;0.011363636;0.00094697;0;0.006628788;0;0;0;0;0.001893939;0;0;0;0;0;0.00094697;0.013257576;0;0;0;0;0;0;0;0;0.015151515;0;0;0;0;0;0
G15.DDT@CTAB;-7.590049746;0;0.275460611;0.32475128;1.17893908;0.049290668;0.17893908;20.53;48.4;0.191;0.308;19.51;113.66;23.23;25.62;23.23;99.43;5.63;33.5;1.377852349;3.248322148;27.87;0.117;94.15;2.39;76.2;2.357525572;1.612565445;5.825730395;1.102884201;4.280241068;19.6;-6.52;-26.12;-0.332653061;1;-1;19.6;6.52;1.215;10.29460337;0.092989986;0.026466381;0.015736767;0.04434907;0.039341917;0.034334764;0.178111588;0.032904149;0.002145923;0.048640916;0.007868383;0.005007153;0.033619456;0.012160229;0.004291845;0.004291845;0;0.008583691;0.010729614;0;0;0;0;0.012160229;0.002145923;0;0.000715308;0.001430615;0;0.002145923;0;0.002145923;0;0.00286123;0;0.005722461;0;0.005007153;0;0;0.008583691;0.000715308;0.00286123;0;0;0.007153076;0.003576538;0.007868383;0;0;0.000715308;0;0;0;0.006437768;0;0.011444921;0;0;0;0;0;0
